Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo BLR_Singasandra WH,Zolo Zeppelin,"B No. 101, 104, 201, 204, 301 and 304, Sri Sreenivasa Sai Residency, Varthur Hobli,Bellandur, Bengaluru, Bengaluru Urban, Karnataka, 560103",Bangalore,Karnataka,"12.958447, 77.7028539","12.8903965, 77.6273899",12.958447,77.7028539,12.8903965,77.6273899,11.12
Zolo BLR_Singasandra WH,Zolo Creed,"#5,1St cross,Kaveri Layout,Taverekere Main Road,Bangalore - 560029",Bangalore,Karnataka,"12.9320402, 77.6100653","12.8903965, 77.6273899",12.9320402,77.6100653,12.8903965,77.6273899,4.98
Zolo Chennai Warehouse_2,Zolo Tiara,"No.54, Karpagambal Nagar, 3rd StreetKottivakkam, Chennai - 600041",Chennai,Tamil Nadu,"12.9550956, 80.2115128","13.0675449, 80.1491821",12.9550956,80.2115128,13.0675449,80.1491821,14.16
Zolo Pune Warehouse_New,Zolo Exotica,"Flat number 303 & 306 HDIL premier Exotica,Building 4A,Premier Exotica Compound,Kirol village,opposite Don Bosco Engineering College,Kurla (West),Mumbai - 400070",Mumbai,Maharashtra,"19.0804854, 72.8889611","18.6124747, 73.71542149999999",19.0804854,72.8889611,18.6124747,73.7154215,101.34
Zolo BLR_Singasandra WH,Zolo Selene,"345,8th Cross Road,Neeladri Nagar,Electronics Phase 1,Electronic ,Doddathoguru,Karnataka,Bangalore - 560100",Bangalore,Karnataka,"12.8373285, 77.64791079999999","12.8903965, 77.6273899",12.8373285,77.6479108,12.8903965,77.6273899,6.28
Zolo Chennai Warehouse_2,Zolo Classic,"Plot Number 232, 6th Cross Street, Kamakoti Nagar, Pallikaranai, Chennai - 600100",Chennai,Tamil Nadu,"12.9500682, 80.1990019","13.0675449, 80.1491821",12.9500682,80.1990019,13.0675449,80.1491821,14.08
Zolo Pune Warehouse_New,Zolo Address,"Bearing No. 2-202, Wadhwa LBS Road, Ghatkopar West, Mumbai, Mumbai Suburban,Maharashtra, 400086",Mumbai,Maharashtra,"19.1501152, 72.93841739999999","18.6124747, 73.71542149999999",19.1501152,72.9384174,18.6124747,73.7154215,101.21
Zolo Faridabad Warehouse,Zolo Ruby,"D-132, Sector 50, Noida",Noida,Uttar Pradesh,"28.5719972, 77.36936779999999","28.4586177, 77.3070471",28.5719972,77.3693678,28.4586177,77.3070471,13.97
Zolo Chennai Warehouse_2,Zolo Sereno,"19,Devaraj Avenue First Cross St,Thoripakkam,Chennai - 600097",Chennai,Tamil Nadu,"12.9415535, 80.2419233","13.0675449, 80.1491821",12.9415535,80.2419233,13.0675449,80.1491821,17.19
Zolo Chennai Warehouse_2,Zolo Ascot,"No:5,S Perumal Kovil St,Vadapalani,Tamil Nadu,Chennai - 600026",Chennai,Tamil Nadu,"13.051662, 80.2150101","13.0675449, 80.1491821",13.051662,80.2150101,13.0675449,80.1491821,7.35
